Artigo_Base,Artigo_Completo,Tipo_Pena,Descricao_Crime,Pena_Minima_Valor,Pena_Minima_Unidade,Pena_Maxima_Valor,Pena_Maxima_Unidade,Tipo_Penal_Estrutural,Tipo_Pena_Antigo
Art. 230,Art. 230,Outras Penas/N/A,"Art. 230 - Tirar proveito da prostituição alheia, participando diretamente de seus lucros ou fazendo-se sustentar, no todo ou em parte, por quem a exerça:",12.0,mês,48.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 233,Art. 233,Outras Penas/N/A,"Art. 233 - Praticar ato obsceno em lugar público, ou aberto ou exposto ao público:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 235,Art. 235,Outras Penas/N/A,"Art. 235 - Contrair alguém, sendo casado, novo casamento:",24.0,mês,72.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 236,Art. 236,Outras Penas/N/A,"Art. 236 - Contrair casamento, induzindo em erro essencial o outro contraente, ou ocultando-lhe impedimento que não seja casamento anterior:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 237,Art. 237,Outras Penas/N/A,"Art. 237 - Contrair casamento, conhecendo a existência de impedimento que lhe cause a nulidade absoluta:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 238,Art. 238,Outras Penas/N/A,Art. 238 - Atribuir-se falsamente autoridade para celebração de casamento:,12.0,mês,36.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 239,Art. 239,Outras Penas/N/A,Art. 239 - Simular casamento mediante engano de outra pessoa:,12.0,mês,36.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 241,Art. 241,Outras Penas/N/A,Art. 241 - Promover no registro civil a inscrição de nascimento inexistente:,24.0,mês,72.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 240,"Art. 240, Parágrafo único",Outras Penas/N/A,"Parágrafo único - Se o crime é praticado por motivo de reconhecida nobreza: (Redação dada pela Lei nº 6.898, de 1981)",12.0,mês,24.0,mês,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 246,Art. 246,Outras Penas/N/A,"Art. 246 - Deixar, sem justa causa, de prover à instrução primária de filho em idade escolar:",0.5,mês,0.5,mês,Crime Base (Caput),Crime Base (Caput)
Art. 246,"Art. 246, IV -",Outras Penas/N/A,IV - mendigue ou sirva a mendigo para excitar a comiseração pública:,,,,,Crime Base (Caput),Crime Base (Caput)
Art. 249,Art. 249,Outras Penas/N/A,Art. 249 - Subtrair menor de dezoito anos ou interdito ao poder de quem o tem sob sua guarda em virtude de lei ou de ordem judicial:,,,,,Crime Base (Caput),Pena Privativa de Liberdade (Tipo Indefinido)
Art. 250,Art. 250,Outras Penas/N/A,"Art. 250 - Causar incêndio, expondo a perigo a vida, a integridade física ou o patrimônio de outrem:",36.0,mês,72.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 251,"Art. 251, § 1",Outras Penas/N/A,§ 1º - Se a substância utilizada não é dinamite ou explosivo de efeitos análogos:,12.0,mês,48.0,mês,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 252,Art. 252,Outras Penas/N/A,"Art. 252 - Expor a perigo a vida, a integridade física ou o patrimônio de outrem, usando de gás tóxico ou asfixiante:",12.0,mês,48.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 252,"Art. 252, Parágrafo único",Outras Penas/N/A,Parágrafo único - Se o crime é culposo:,,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 253,Art. 253,Outras Penas/N/A,"Art. 253 - Fabricar, fornecer, adquirir, possuir ou transportar, sem licença da autoridade, substância ou engenho explosivo, gás tóxico ou asfixiante, ou material destinado à sua fabricação:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 254,Art. 254,Outras Penas/N/A,"Art. 254 - Causar inundação, expondo a perigo a vida, a integridade física ou o patrimônio de outrem:",36.0,mês,72.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 256,Art. 256,Outras Penas/N/A,"Art. 256 - Causar desabamento ou desmoronamento, expondo a perigo a vida, a integridade física ou o patrimônio de outrem:",12.0,mês,48.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 254,"Art. 254, Parágrafo único",Outras Penas/N/A,Parágrafo único - Se o crime é culposo:,,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 259,Art. 259,Outras Penas/N/A,"Art. 259 - Difundir doença ou praga que possa causar dano a floresta, plantação ou animais de utilidade econômica:",24.0,mês,60.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 259,"Art. 259, IV -",Outras Penas/N/A,IV - praticando outro ato de que possa resultar desastre:,24.0,mês,60.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 260,"Art. 260, § 1",Outras Penas/N/A,§ 1º - Se do fato resulta desastre:,48.0,mês,144.0,mês,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 260,"Art. 260, § 2",Outras Penas/N/A,"§ 2º - No caso de culpa, ocorrendo desastre:",,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 261,Art. 261,Outras Penas/N/A,"Art. 261 - Expor a perigo embarcação ou aeronave, própria ou alheia, ou praticar qualquer ato tendente a impedir ou dificultar navegação marítima, fluvial ou aérea:",24.0,mês,60.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 261,"Art. 261, § 1",Outras Penas/N/A,"§ 1º - Se do fato resulta naufrágio, submersão ou encalhe de embarcação ou a queda ou destruição de aeronave:",48.0,mês,144.0,mês,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 261,"Art. 261, § 3",Outras Penas/N/A,"§ 3º - No caso de culpa, se ocorre o sinistro:",,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 262,Art. 262,Outras Penas/N/A,"Art. 262 - Expor a perigo outro meio de transporte público, impedir-lhe ou dificultar-lhe o funcionamento:",12.0,mês,24.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 262,"Art. 262, § 2",Outras Penas/N/A,"§ 2º - No caso de culpa, se ocorre desastre:",,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 264,Art. 264,Outras Penas/N/A,"Art. 264 - Arremessar projétil contra veículo, em movimento, destinado ao transporte público por terra, por água ou pelo ar:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 265,Art. 265,Outras Penas/N/A,"Art. 265 - Atentar contra a segurança ou o funcionamento de serviço de água, luz, força ou calor, ou qualquer outro de utilidade pública:",12.0,mês,60.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 266,Art. 266,Outras Penas/N/A,"Art. 266 - Interromper ou perturbar serviço telegráfico, radiotelegráfico ou telefônico, impedir ou dificultar-lhe o restabelecimento:",12.0,mês,36.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 267,Art. 267,Outras Penas/N/A,"Art. 267 - Causar epidemia, mediante a propagação de germes patogênicos:",120.0,mês,180.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 268,Art. 268,Outras Penas/N/A,"Art. 268 - Infringir determinação do poder público, destinada a impedir introdução ou propagação de doença contagiosa:",,,,,Causa de Aumento/Diminuição de Pena,Causa de Aumento/Diminuição de Pena
Art. 270,Art. 270,Outras Penas/N/A,"Art. 270 - Envenenar água potável, de uso comum ou particular, ou substância alimentícia ou medicinal destinada a consumo:",120.0,mês,180.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 269,"Art. 269, § 2",Outras Penas/N/A,§ 2º - Se o crime é culposo:,,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 271,Art. 271,Outras Penas/N/A,"Art. 271 - Corromper ou poluir água potável, de uso comum ou particular, tornando-a imprópria para consumo ou nociva à saúde:",24.0,mês,60.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 270,"Art. 270, Parágrafo único",Outras Penas/N/A,Parágrafo único - Se o crime é culposo:,,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 272,"Art. 272, § 2",Outras Penas/N/A,"§ 2º - Se o crime é culposo: (Redação dada pela Lei nº 9.677, de 2.7.1998)",,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 273,Art. 273,Outras Penas/N/A,"Art. 273 - Falsificar, corromper, adulterar ou alterar produto destinado a fins terapêuticos ou medicinais: (Redação dada pela Lei nº 9.677, de 2.7.1998)",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 273,"N/A, § 2",Outras Penas/N/A,§ 2º - Se o crime é culposo:,,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 276,Art. 276,Outras Penas/N/A,"Art. 276 - Vender, expor à venda, ter em depósito para vender ou, de qualquer forma, entregar a consumo produto nas condições dos arts. 274 e 275.",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 277,"Art. 277, Parágrafo único",Outras Penas/N/A,Parágrafo único - Se o crime é culposo:,,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 280,Art. 280,Outras Penas/N/A,Art. 280 - Fornecer substância medicinal em desacordo com receita médica:,12.0,mês,36.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 278,"Art. 278, Parágrafo único",Outras Penas/N/A,Parágrafo único - Se o crime é culposo:,,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 282,Art. 282,Outras Penas/N/A,"Art. 282 - Exercer, ainda que a título gratuito, a profissão de médico, dentista ou farmacêutico, sem autorização legal ou excedendo-lhe os limites:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 283,Art. 283,Outras Penas/N/A,Art. 283 - Inculcar ou anunciar cura por meio secreto ou infalível:,,,,,Crime Base (Caput),Crime Base (Caput)
Art. 281,"Art. 281, III -",Outras Penas/N/A,III - fazendo diagnósticos:,,,,,Crime Base (Caput),Crime Base (Caput)
Art. 286,Art. 286,Outras Penas/N/A,"Art. 286 - Incitar, publicamente, a prática de crime:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 287,Art. 287,Outras Penas/N/A,"Art. 287 - Fazer, publicamente, apologia de fato criminoso ou de autor de crime:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 288,Art. 288,Outras Penas/N/A,"Art. 288.  Associarem-se 3 (três) ou mais pessoas, para o fim específico de cometer crimes:     (Redação dada pela Lei nº 12.850, de 2013)     (Vigência)",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 289,Art. 289,Outras Penas/N/A,"Art. 289 - Falsificar, fabricando-a ou alterando-a, moeda metálica ou papel-moeda de curso legal no país ou no estrangeiro:",36.0,mês,144.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 293,"Art. 293, VI -",Outras Penas/N/A,"VI - bilhete, passe ou conhecimento de empresa de transporte administrada pela União, por Estado ou por Município:",24.0,mês,96.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 294,Art. 294,Outras Penas/N/A,"Art. 294 - Fabricar, adquirir, fornecer, possuir ou guardar objeto especialmente destinado à falsificação de qualquer dos papéis referidos no artigo anterior:",12.0,mês,36.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 294,"Art. 294, II -",Outras Penas/N/A,"II - selo ou sinal atribuído por lei a entidade de direito público, ou a autoridade, ou sinal público de tabelião:",24.0,mês,72.0,mês,Crime Base (Caput),Crime Base (Caput)
